,Stand (cm t.o.v. NAP)
2012-07-13,29.810000000000002
2012-07-14,29.82
2012-07-15,29.8
2012-07-16,29.79
2012-07-17,29.830000000000002
2012-07-18,29.87
2012-07-19,29.91
2012-07-20,29.85
2012-07-21,29.82
2012-07-22,29.8
2012-07-23,29.8
2012-07-24,29.78
2012-07-25,29.77
2012-07-26,29.73
2012-07-27,29.73
2012-07-28,29.740000000000002
2012-07-29,29.88
2012-07-30,29.94
2012-07-31,29.96
2012-08-01,29.97
2012-08-02,29.97
2012-08-03,29.91
2012-08-04,29.92
2012-08-05,29.900000000000002
2012-08-06,29.89
2012-08-07,29.82
2012-08-08,29.76
2012-08-09,29.73
2012-08-10,29.69
2012-08-11,29.66
2012-08-12,29.68
2012-08-13,29.69
2012-08-14,29.64
2012-08-15,29.62
2012-08-16,29.57
2012-08-17,29.490000000000002
2012-08-18,29.45
2012-08-19,29.45
2012-08-20,29.44
2012-08-21,29.39
2012-08-22,29.41
2012-08-23,29.39
2012-08-24,29.41
2012-08-25,29.37
2012-08-26,29.42
2012-08-27,29.42
2012-08-28,29.48
2012-08-29,29.45
2012-08-30,29.43
2012-08-31,29.38
2012-09-01,29.36
2012-09-02,29.38
2012-09-03,29.36
2012-09-04,29.37
2012-09-05,29.3
2012-09-06,29.26
2012-09-07,29.3
2012-09-08,29.26
2012-09-09,29.29
2012-09-10,29.27
2012-09-11,29.240000000000002
2012-09-12,29.3
2012-09-13,29.310000000000002
2012-09-14,29.32
2012-09-15,29.3
2012-09-16,29.310000000000002
2012-09-17,29.310000000000002
2012-09-18,29.28
2012-09-19,29.240000000000002
2012-09-20,29.240000000000002
2012-09-21,29.25
2012-09-22,29.25
2012-09-23,29.25
2012-09-24,29.34
2012-09-25,29.310000000000002
2012-09-26,29.3
2012-09-27,29.29
2012-09-28,29.27
2012-09-29,29.3
2012-09-30,29.29
2012-10-01,29.310000000000002
2012-10-02,29.32
2012-10-03,29.34
2012-10-04,29.35
2012-10-05,29.37
2012-10-06,29.400000000000002
2012-10-07,29.39
2012-10-08,29.400000000000002
2012-10-09,29.45
2012-10-10,29.44
2012-10-11,29.45
2012-10-12,29.48
2012-10-13,29.46
2012-10-14,29.5
2012-10-15,29.51
2012-10-16,29.51
2012-10-17,29.51
2012-10-18,29.53
2012-10-19,29.53
2012-10-20,29.52
2012-10-21,29.53
2012-10-22,29.52
2012-10-23,29.52
2012-10-24,29.53
2012-10-25,29.54
2012-10-26,29.54
2012-10-27,29.560000000000002
2012-10-28,29.5
2012-10-29,29.52
2012-10-30,29.54
2012-10-31,29.53
2012-11-01,29.560000000000002
2012-11-02,29.5
2012-11-03,29.5
2012-11-04,29.51
2012-11-05,29.54
2012-11-06,29.5
2012-11-07,29.52
2012-11-08,29.55
2012-11-09,29.57
2012-11-10,29.61
2012-11-11,29.57
2012-11-12,29.54
2012-11-13,29.54
2012-11-14,29.55
2012-11-15,29.57
2012-11-16,29.580000000000002
2012-11-17,29.6
2012-11-18,29.580000000000002
2012-11-19,29.560000000000002
2012-11-20,29.560000000000002
2012-11-21,29.57
2012-11-22,29.54
2012-11-23,29.57
2012-11-24,29.55
2012-11-25,29.61
2012-11-26,29.580000000000002
2012-11-27,29.59
2012-11-28,29.580000000000002
2012-11-29,29.580000000000002
2012-11-30,29.57
2012-12-01,29.560000000000002
2012-12-02,29.580000000000002
2012-12-03,29.560000000000002
2012-12-04,29.62
2012-12-05,29.61
2012-12-06,29.580000000000002
2012-12-07,29.650000000000002
2012-12-08,29.57
2012-12-09,29.6
2012-12-10,29.66
2012-12-11,29.64
2012-12-12,29.68
2012-12-13,29.71
2012-12-14,29.72
2012-12-15,29.73
2012-12-16,29.73
2012-12-17,29.76
2012-12-18,29.76
2012-12-19,29.75
2012-12-20,29.8
2012-12-21,29.830000000000002
2012-12-22,29.810000000000002
2012-12-23,29.900000000000002
2012-12-24,29.96
2012-12-25,30.060000000000002
2012-12-26,30.05
2012-12-27,30.11
2012-12-28,30.09
2012-12-29,30.21
2012-12-30,30.23
2012-12-31,30.22
2013-01-01,30.27
2013-01-02,30.25
2013-01-03,30.25
