,Stand (cm t.o.v. NAP)
2015-01-01,30.330000000000002
2015-01-02,30.400000000000002
2015-01-03,30.38
2015-01-04,30.38
2015-01-05,30.400000000000002
2015-01-06,30.43
2015-01-07,30.39
2015-01-08,30.42
2015-01-09,30.48
2015-01-10,30.57
2015-01-11,30.61
2015-01-12,30.61
2015-01-13,30.64
2015-01-14,30.64
2015-01-15,30.7
2015-01-16,30.650000000000002
2015-01-17,30.63
2015-01-18,30.64
2015-01-19,30.650000000000002
2015-01-20,30.63
2015-01-21,30.61
2015-01-22,30.580000000000002
2015-01-23,30.53
2015-01-24,30.55
2015-01-25,30.490000000000002
2015-01-26,30.55
2015-01-27,30.61
2015-01-28,30.66
2015-01-29,30.73
2015-01-30,30.77
2015-01-31,30.71
2015-02-01,30.67
2015-02-02,30.61
2015-02-03,30.63
2015-02-04,30.59
2015-02-05,30.560000000000002
2015-02-06,30.54
2015-02-07,30.51
2015-02-08,30.51
2015-02-09,30.51
2015-02-10,30.490000000000002
2015-02-11,30.5
2015-02-12,30.5
2015-02-13,30.490000000000002
2015-02-14,30.51
2015-02-15,30.45
2015-02-16,30.42
2015-02-17,30.38
2015-02-18,30.330000000000002
2015-02-19,30.39
2015-02-20,30.43
2015-02-21,30.51
2015-02-22,30.47
2015-02-23,30.59
2015-02-24,30.580000000000002
2015-02-25,30.53
2015-02-26,30.560000000000002
2015-02-27,30.62
2015-02-28,30.64
2015-03-01,30.73
2015-03-02,30.67
2015-03-03,30.59
2015-03-04,30.59
2015-03-05,30.53
2015-03-06,30.54
2015-03-07,30.55
2015-03-08,30.55
2015-03-09,30.51
2015-03-10,30.5
2015-03-11,30.46
2015-03-12,30.43
2015-03-13,30.44
2015-03-14,30.42
2015-03-15,30.400000000000002
2015-03-16,30.400000000000002
2015-03-17,30.38
2015-03-18,30.36
2015-03-19,30.330000000000002
2015-03-20,30.330000000000002
2015-03-21,30.35
2015-03-22,30.310000000000002
2015-03-23,30.34
2015-03-24,30.35
2015-03-25,30.34
2015-03-26,30.330000000000002
2015-03-27,30.330000000000002
2015-03-28,30.29
2015-03-29,30.37
2015-03-30,30.43
2015-03-31,30.57
2015-04-01,30.53
2015-04-02,30.61
2015-04-03,30.580000000000002
2015-04-04,30.61
2015-04-05,30.57
2015-04-06,30.55
2015-04-07,30.51
2015-04-08,30.51
2015-04-09,30.5
2015-04-10,30.5
2015-04-11,30.5
2015-04-12,30.41
2015-04-13,30.41
2015-04-14,30.400000000000002
2015-04-15,30.41
2015-04-16,30.400000000000002
2015-04-17,30.330000000000002
2015-04-18,30.25
2015-04-19,30.3
2015-04-20,30.28
2015-04-21,30.240000000000002
2015-04-22,30.25
2015-04-23,30.27
2015-04-24,30.28
2015-04-25,30.27
2015-04-26,30.25
2015-04-27,30.25
2015-04-28,30.23
2015-04-29,30.21
2015-04-30,30.23
2015-05-01,30.2
2015-05-02,30.16
2015-05-03,30.21
2015-05-04,30.19
2015-05-05,30.25
2015-05-06,30.16
2015-05-07,30.16
2015-05-08,30.16
2015-05-09,30.16
2015-05-10,30.11
2015-05-11,30.13
2015-05-12,30.14
2015-05-13,30.09
2015-05-14,30.11
2015-05-15,30.1
2015-05-16,30.04
