,Stand (cm t.o.v. NAP)
2008-05-10,11.38
2008-05-11,11.370000000000001
2008-05-12,11.36
2008-05-13,11.36
2008-05-14,11.35
2008-05-15,11.33
2008-05-16,11.35
2008-05-17,11.38
2008-05-18,11.39
2008-05-19,11.39
2008-05-20,11.36
2008-05-21,11.35
2008-05-22,11.33
2008-05-23,11.33
2008-05-24,11.32
2008-05-25,11.32
2008-05-26,11.33
2008-05-27,11.32
2008-05-28,11.31
2008-05-29,11.32
2008-05-30,11.39
2008-05-31,11.36
2008-06-01,11.32
2008-06-02,11.33
2008-06-03,11.39
2008-06-04,11.36
2008-06-05,11.38
2008-06-06,11.42
2008-06-07,11.4
2008-06-08,11.450000000000001
2008-06-09,11.39
2008-06-10,11.36
2008-06-11,11.35
2008-06-12,11.34
2008-06-13,11.41
2008-06-14,11.38
2008-06-15,11.35
2008-06-16,11.36
2008-06-17,11.33
2008-06-18,11.33
2008-06-19,11.32
2008-06-20,11.32
2008-06-21,11.3
2008-06-22,11.32
2008-06-23,11.32
2008-06-24,11.31
2008-06-25,11.290000000000001
2008-06-26,11.31
2008-06-27,11.28
2008-06-28,11.28
2008-06-29,11.26
2008-06-30,11.28
2008-07-01,11.26
2008-07-02,11.28
2008-07-03,11.32
2008-07-04,11.35
2008-07-05,11.3
2008-07-06,11.3
2008-07-07,11.290000000000001
2008-07-08,11.290000000000001
2008-07-09,11.27
2008-07-10,11.25
2008-07-11,11.31
2008-07-12,11.28
2008-07-13,11.28
2008-07-14,11.28
2008-07-15,11.28
2008-07-16,11.27
2008-07-17,11.27
2008-07-18,11.27
2008-07-19,11.25
2008-07-20,11.23
2008-07-21,11.28
2008-07-22,11.26
2008-07-23,11.27
2008-07-24,11.25
2008-07-25,11.25
2008-07-26,11.24
2008-07-27,11.25
2008-07-28,11.24
2008-07-29,11.25
2008-07-30,11.24
2008-07-31,11.23
2008-08-01,11.22
2008-08-02,11.23
2008-08-03,11.22
2008-08-04,11.290000000000001
2008-08-05,11.26
2008-08-06,11.26
2008-08-07,11.23
2008-08-08,11.24
2008-08-09,11.25
2008-08-10,11.23
2008-08-11,11.26
2008-08-12,11.22
