,Stand (cm t.o.v. NAP)
2015-01-01,11.85
2015-01-02,11.84
2015-01-03,11.790000000000001
2015-01-04,11.83
2015-01-05,12.05
2015-01-06,12.14
2015-01-07,12.09
2015-01-08,12.01
2015-01-09,12.09
2015-01-10,12.43
2015-01-11,12.64
2015-01-12,12.73
2015-01-13,12.64
2015-01-14,12.52
2015-01-15,12.41
2015-01-16,12.370000000000001
2015-01-17,12.41
2015-01-18,12.49
2015-01-19,12.38
2015-01-20,12.290000000000001
2015-01-21,12.18
2015-01-22,12.05
2015-01-23,11.96
2015-01-24,11.88
2015-01-25,11.84
2015-01-26,11.82
2015-01-27,11.8
2015-01-28,11.94
2015-01-29,11.93
2015-01-30,11.97
2015-01-31,12.1
2015-02-01,12.18
2015-02-02,12.17
2015-02-03,12.21
2015-02-04,12.19
2015-02-05,12.1
2015-02-06,12.0
2015-02-07,11.89
2015-02-08,11.84
2015-02-09,11.8
2015-02-10,11.76
2015-02-11,11.700000000000001
2015-02-12,11.69
2015-02-13,11.64
2015-02-14,11.620000000000001
2015-02-15,11.65
2015-02-16,11.620000000000001
2015-02-17,11.620000000000001
2015-02-18,11.63
2015-02-19,11.6
2015-02-20,11.59
2015-02-21,11.59
2015-02-22,11.700000000000001
2015-02-23,11.93
2015-02-24,12.02
2015-02-25,12.16
2015-02-26,12.200000000000001
2015-02-27,12.27
2015-02-28,12.31
2015-03-01,12.33
2015-03-02,12.25
2015-03-03,12.16
2015-03-04,12.09
2015-03-05,12.040000000000001
2015-03-06,11.99
2015-03-07,11.91
2015-03-08,11.84
2015-03-09,11.8
2015-03-10,11.76
2015-03-11,11.72
2015-03-12,11.67
2015-03-13,11.65
2015-03-14,11.63
2015-03-15,11.6
2015-03-16,11.57
2015-03-17,11.56
2015-03-18,11.56
2015-03-19,11.540000000000001
2015-03-20,11.52
2015-03-21,11.51
2015-03-22,11.51
2015-03-23,11.51
2015-03-24,11.48
2015-03-25,11.5
2015-03-26,11.52
2015-03-27,11.49
2015-03-28,11.47
2015-03-29,11.5
2015-03-30,11.540000000000001
2015-03-31,11.73
2015-04-01,11.78
2015-04-02,11.85
2015-04-03,11.92
2015-04-04,12.120000000000001
2015-04-05,12.11
2015-04-06,11.99
2015-04-07,11.870000000000001
2015-04-08,11.78
2015-04-09,11.73
2015-04-10,11.68
2015-04-11,11.63
2015-04-12,11.6
2015-04-13,11.59
2015-04-14,11.55
2015-04-15,11.540000000000001
2015-04-16,11.52
2015-04-17,11.5
2015-04-18,11.51
2015-04-19,11.47
2015-04-20,11.47
2015-04-21,11.46
2015-04-22,11.47
2015-04-23,11.450000000000001
2015-04-24,11.46
2015-04-25,11.44
2015-04-26,11.44
2015-04-27,11.48
2015-04-28,11.46
2015-04-29,11.450000000000001
2015-04-30,11.42
2015-05-01,11.44
2015-05-02,11.43
2015-05-03,11.44
2015-05-04,11.43
2015-05-05,11.44
2015-05-06,11.5
2015-05-07,11.49
2015-05-08,11.47
2015-05-09,11.450000000000001
2015-05-10,11.44
2015-05-11,11.450000000000001
2015-05-12,11.43
2015-05-13,11.44
2015-05-14,11.41
2015-05-15,11.43
2015-05-16,11.4
2015-05-17,11.41
2015-05-18,11.41
2015-05-19,11.4
2015-05-20,11.39
2015-05-21,11.39
2015-05-22,11.38
2015-05-23,11.370000000000001
2015-05-24,11.370000000000001
2015-05-25,11.370000000000001
2015-05-26,11.38
2015-05-27,11.370000000000001
2015-05-28,11.36
2015-05-29,11.36
2015-05-30,11.370000000000001
2015-05-31,11.35
2015-06-01,11.370000000000001
2015-06-02,11.36
2015-06-03,11.36
2015-06-04,11.38
2015-06-05,11.35
2015-06-06,11.35
2015-06-07,11.36
2015-06-08,11.36
2015-06-09,11.22
2015-06-10,11.36
2015-06-11,11.35
2015-06-12,11.34
2015-06-13,11.35
2015-06-14,11.34
2015-06-15,11.36
2015-06-16,11.33
2015-06-17,11.32
2015-06-18,11.34
2015-06-19,11.34
2015-06-20,11.34
2015-06-21,11.34
2015-06-22,11.34
2015-06-23,11.4
2015-06-24,11.36
2015-06-25,11.34
2015-06-26,11.33
2015-06-27,11.35
2015-06-28,11.32
2015-06-29,11.34
2015-06-30,11.34
2015-07-01,11.33
2015-07-02,11.31
2015-07-03,11.33
2015-07-04,11.31
2015-07-05,11.31
2015-07-06,11.33
2015-07-07,11.33
2015-07-08,11.4
2015-07-09,11.43
2015-07-10,11.42
2015-07-11,11.38
2015-07-12,11.35
2015-07-13,11.38
2015-07-14,11.39
2015-07-15,11.42
2015-07-16,11.43
2015-07-17,11.43
2015-07-18,11.41
2015-07-19,11.44
2015-07-20,11.450000000000001
2015-07-21,11.43
2015-07-22,11.43
2015-07-23,11.43
2015-07-24,11.42
2015-07-25,11.42
2015-07-26,11.44
2015-07-27,11.44
2015-07-28,11.41
2015-07-29,11.44
2015-07-30,11.43
2015-07-31,11.43
2015-08-01,11.44
2015-08-02,11.4
2015-08-03,11.42
2015-08-04,11.42
2015-08-05,11.41
2015-08-06,11.39
2015-08-07,11.42
2015-08-08,11.42
2015-08-09,11.41
2015-08-10,11.43
2015-08-11,11.41
2015-08-12,11.41
2015-08-13,11.42
2015-08-14,11.42
2015-08-15,11.4
2015-08-16,11.51
2015-08-17,11.49
2015-08-18,11.450000000000001
2015-08-19,11.46
2015-08-20,11.44
2015-08-21,11.450000000000001
2015-08-22,11.450000000000001
2015-08-23,11.44
2015-08-24,11.46
2015-08-25,11.46
2015-08-26,11.46
2015-08-27,11.48
2015-08-28,11.46
2015-08-29,11.450000000000001
2015-08-30,11.46
2015-08-31,11.48
2015-09-01,11.450000000000001
2015-09-02,11.46
2015-09-03,11.47
2015-09-04,11.44
2015-09-05,11.450000000000001
2015-09-06,11.48
2015-09-07,11.47
2015-09-08,11.46
2015-09-09,11.450000000000001
2015-09-10,11.47
2015-09-11,11.46
2015-09-12,11.450000000000001
2015-09-13,11.450000000000001
2015-09-14,11.450000000000001
2015-09-15,11.21
2015-09-16,11.450000000000001
2015-09-17,11.49
2015-09-18,11.5
2015-09-19,11.46
2015-09-20,11.5
2015-09-21,11.47
2015-09-22,11.41
2015-09-23,11.46
2015-09-24,11.44
2015-09-25,11.44
2015-09-26,11.47
2015-09-27,11.450000000000001
2015-09-28,11.46
2015-09-29,11.43
2015-09-30,11.41
2015-10-01,11.42
2015-10-02,11.44
2015-10-03,11.41
2015-10-04,11.43
2015-10-05,11.42
2015-10-06,11.43
2015-10-07,11.44
2015-10-08,11.41
2015-10-09,11.42
2015-10-10,11.43
2015-10-11,11.44
2015-10-12,11.43
2015-10-13,11.44
2015-10-14,11.44
2015-10-15,11.44
2015-10-16,11.44
2015-10-17,11.44
2015-10-18,11.46
2015-10-19,11.44
2015-10-20,11.44
2015-10-21,11.43
2015-10-22,11.42
2015-10-23,11.450000000000001
2015-10-24,11.46
2015-10-25,11.450000000000001
2015-10-26,11.450000000000001
2015-10-27,11.43
2015-10-28,11.43
2015-10-29,11.43
2015-10-30,11.43
2015-10-31,11.43
2015-11-01,11.41
2015-11-02,11.44
2015-11-03,11.43
2015-11-04,11.43
2015-11-05,11.43
2015-11-06,11.43
2015-11-07,11.42
2015-11-08,11.41
2015-11-09,11.43
2015-11-10,11.41
2015-11-11,11.42
2015-11-12,11.42
2015-11-13,11.43
2015-11-14,11.43
2015-11-15,11.43
2015-11-16,11.43
2015-11-17,11.44
2015-11-18,11.47
2015-11-19,11.49
2015-11-20,11.52
2015-11-21,11.57
2015-11-22,11.64
2015-11-23,11.68
2015-11-24,11.620000000000001
2015-11-25,11.57
2015-11-26,11.57
2015-11-27,11.57
2015-11-28,11.56
2015-11-29,11.55
2015-11-30,11.61
2015-12-01,11.78
2015-12-02,12.01
2015-12-03,12.17
2015-12-04,12.040000000000001
2015-12-05,11.94
2015-12-06,11.84
2015-12-07,11.78
2015-12-08,11.72
2015-12-09,11.67
2015-12-10,11.65
2015-12-11,11.64
2015-12-12,11.65
2015-12-13,11.72
2015-12-14,11.74
2015-12-15,11.71
2015-12-16,11.68
2015-12-17,11.700000000000001
2015-12-18,11.71
2015-12-19,11.68
2015-12-20,11.67
2015-12-21,11.66
2015-12-22,11.63
2015-12-23,11.64
2015-12-24,11.67
2015-12-25,11.66
2015-12-26,11.67
2015-12-27,11.620000000000001
2015-12-28,11.620000000000001
2015-12-29,11.61
2015-12-30,11.59
2015-12-31,11.56
