,Stand (cm t.o.v. NAP)
2015-01-01,28.17
2015-01-02,28.25
2015-01-03,28.23
2015-01-04,28.26
2015-01-05,28.26
2015-01-06,28.29
2015-01-07,28.28
2015-01-08,28.28
2015-01-09,28.34
2015-01-10,28.43
2015-01-11,28.45
2015-01-12,28.44
2015-01-13,28.46
2015-01-14,28.47
2015-01-15,28.51
2015-01-16,28.490000000000002
2015-01-17,28.47
2015-01-18,28.45
2015-01-19,28.46
2015-01-20,28.45
2015-01-21,28.43
2015-01-22,28.400000000000002
2015-01-23,28.35
2015-01-24,28.36
2015-01-25,28.330000000000002
2015-01-26,28.37
2015-01-27,28.43
2015-01-28,28.47
2015-01-29,28.560000000000002
2015-01-30,28.6
2015-01-31,28.560000000000002
2015-02-01,28.51
2015-02-02,28.47
2015-02-03,28.47
2015-02-04,28.44
2015-02-05,28.41
2015-02-06,28.39
2015-02-07,28.36
2015-02-08,28.36
2015-02-09,28.36
2015-02-10,28.35
2015-02-11,28.36
2015-02-12,28.36
2015-02-13,28.36
2015-02-14,28.37
2015-02-15,28.34
2015-02-16,28.29
2015-02-17,28.26
2015-02-18,28.2
2015-02-19,28.240000000000002
2015-02-20,28.29
2015-02-21,28.36
2015-02-22,28.34
2015-02-23,28.400000000000002
2015-02-24,28.41
2015-02-25,28.37
2015-02-26,28.38
2015-02-27,28.44
2015-02-28,28.44
2015-03-01,28.5
2015-03-02,28.490000000000002
2015-03-03,28.42
2015-03-04,28.43
2015-03-05,28.39
2015-03-06,28.400000000000002
2015-03-07,28.41
2015-03-08,28.400000000000002
2015-03-09,28.37
2015-03-10,28.37
2015-03-11,28.32
2015-03-12,28.310000000000002
2015-03-13,28.3
2015-03-14,28.28
2015-03-15,28.26
2015-03-16,28.26
2015-03-17,28.240000000000002
2015-03-18,28.21
2015-03-19,28.19
2015-03-20,28.18
2015-03-21,28.22
2015-03-22,28.19
2015-03-23,28.19
2015-03-24,28.2
2015-03-25,28.21
2015-03-26,28.2
2015-03-27,28.2
2015-03-28,28.16
