,Stand (cm t.o.v. NAP)
2012-07-13,25.84
2012-07-14,25.91
2012-07-15,25.990000000000002
2012-07-16,26.05
2012-07-17,26.14
2012-07-18,26.21
2012-07-19,26.22
2012-07-20,26.26
2012-07-21,26.25
2012-07-22,26.22
2012-07-23,26.2
2012-07-24,26.19
2012-07-25,26.18
2012-07-26,26.14
2012-07-27,26.14
2012-07-28,26.150000000000002
2012-07-29,26.3
2012-07-30,26.27
2012-07-31,26.240000000000002
2012-08-01,26.23
2012-08-02,26.21
2012-08-03,26.18
2012-08-04,26.16
2012-08-05,26.150000000000002
2012-08-06,26.150000000000002
2012-08-07,26.13
2012-08-08,26.12
2012-08-09,26.12
2012-08-10,26.1
2012-08-11,26.080000000000002
2012-08-12,26.07
2012-08-13,26.05
2012-08-14,26.060000000000002
2012-08-15,26.03
2012-08-16,25.94
2012-08-17,25.91
2012-08-18,25.89
2012-08-19,25.87
2012-08-20,25.84
2012-08-21,25.85
2012-08-22,25.810000000000002
2012-08-23,25.82
2012-08-24,25.77
2012-08-25,25.78
2012-08-26,25.8
2012-08-27,25.84
2012-08-28,25.87
2012-08-29,25.86
2012-08-30,25.85
2012-08-31,25.84
2012-09-01,25.86
2012-09-02,25.86
2012-09-03,25.86
2012-09-04,25.86
2012-09-05,25.85
2012-09-06,25.82
2012-09-07,25.79
2012-09-08,25.8
2012-09-09,25.810000000000002
2012-09-10,25.76
2012-09-11,25.79
2012-09-12,25.87
2012-09-13,25.89
2012-09-14,25.91
2012-09-15,25.92
2012-09-16,25.92
2012-09-17,25.92
2012-09-18,25.93
2012-09-19,25.91
2012-09-20,25.900000000000002
2012-09-21,25.91
2012-09-22,25.92
2012-09-23,25.89
2012-09-24,25.95
2012-09-25,25.94
2012-09-26,25.95
2012-09-27,25.96
2012-09-28,25.95
2012-09-29,25.96
2012-09-30,25.95
2012-10-01,25.96
2012-10-02,25.95
2012-10-03,25.98
2012-10-04,26.02
2012-10-05,26.14
2012-10-06,26.17
2012-10-07,26.19
2012-10-08,26.17
2012-10-09,26.18
2012-10-10,26.150000000000002
2012-10-11,26.150000000000002
2012-10-12,26.16
2012-10-13,26.18
2012-10-14,26.330000000000002
2012-10-15,26.310000000000002
2012-10-16,26.26
2012-10-17,26.25
2012-10-18,26.27
2012-10-19,26.240000000000002
2012-10-20,26.22
2012-10-21,26.23
2012-10-22,26.22
2012-10-23,26.21
2012-10-24,26.22
2012-10-25,26.23
2012-10-26,26.23
2012-10-27,26.240000000000002
2012-10-28,26.19
2012-10-29,26.21
2012-10-30,26.240000000000002
2012-10-31,26.23
2012-11-01,26.26
2012-11-02,26.2
2012-11-03,26.21
2012-11-04,26.25
2012-11-05,26.32
2012-11-06,26.27
2012-11-07,26.27
2012-11-08,26.3
2012-11-09,26.29
2012-11-10,26.32
2012-11-11,26.28
2012-11-12,26.240000000000002
2012-11-13,26.240000000000002
2012-11-14,26.25
2012-11-15,26.26
2012-11-16,26.27
2012-11-17,26.28
2012-11-18,26.26
2012-11-19,26.27
2012-11-20,26.27
2012-11-21,26.28
2012-11-22,26.25
2012-11-23,26.28
2012-11-24,26.3
2012-11-25,26.35
2012-11-26,26.32
2012-11-27,26.37
2012-11-28,26.35
2012-11-29,26.34
2012-11-30,26.32
2012-12-01,26.3
2012-12-02,26.330000000000002
2012-12-03,26.32
2012-12-04,26.42
2012-12-05,26.44
2012-12-06,26.400000000000002
2012-12-07,26.43
2012-12-08,26.35
2012-12-09,26.37
2012-12-10,26.59
2012-12-11,26.53
2012-12-12,26.5
2012-12-13,26.48
2012-12-14,26.46
2012-12-15,26.57
2012-12-16,26.53
2012-12-17,26.52
2012-12-18,26.52
2012-12-19,26.6
2012-12-20,26.580000000000002
2012-12-21,26.67
2012-12-22,26.61
2012-12-23,26.830000000000002
2012-12-24,26.88
2012-12-25,26.82
2012-12-26,26.82
2012-12-27,26.91
2012-12-28,26.85
2012-12-29,26.830000000000002
2012-12-30,26.77
