,Stand (cm t.o.v. NAP)
2015-01-01,26.66
2015-01-02,26.64
2015-01-03,26.61
2015-01-04,26.67
2015-01-05,26.63
2015-01-06,26.61
2015-01-07,26.57
2015-01-08,26.580000000000002
2015-01-09,26.84
2015-01-10,26.89
2015-01-11,26.8
2015-01-12,26.740000000000002
2015-01-13,26.71
2015-01-14,26.810000000000002
2015-01-15,26.79
2015-01-16,26.76
2015-01-17,26.69
2015-01-18,26.67
2015-01-19,26.650000000000002
2015-01-20,26.62
2015-01-21,26.61
2015-01-22,26.57
2015-01-23,26.54
2015-01-24,26.55
2015-01-25,26.53
2015-01-26,26.66
2015-01-27,26.72
2015-01-28,26.71
2015-01-29,26.77
2015-01-30,26.73
2015-01-31,26.67
2015-02-01,26.62
2015-02-02,26.59
2015-02-03,26.62
2015-02-04,26.57
2015-02-05,26.55
2015-02-06,26.53
2015-02-07,26.5
2015-02-08,26.52
2015-02-09,26.51
2015-02-10,26.5
2015-02-11,26.52
2015-02-12,26.51
2015-02-13,26.5
2015-02-14,26.5
2015-02-15,26.47
2015-02-16,26.45
2015-02-17,26.43
2015-02-18,26.41
2015-02-19,26.44
2015-02-20,26.48
2015-02-21,26.59
2015-02-22,26.55
2015-02-23,26.580000000000002
2015-02-24,26.63
2015-02-25,26.61
2015-02-26,26.59
2015-02-27,26.7
2015-02-28,26.66
2015-03-01,26.66
2015-03-02,26.6
2015-03-03,26.560000000000002
2015-03-04,26.63
2015-03-05,26.57
2015-03-06,26.560000000000002
2015-03-07,26.55
2015-03-08,26.54
2015-03-09,26.5
2015-03-10,26.5
2015-03-11,26.47
2015-03-12,26.46
2015-03-13,26.46
2015-03-14,26.44
2015-03-15,26.44
2015-03-16,26.44
2015-03-17,26.42
2015-03-18,26.41
2015-03-19,26.41
2015-03-20,26.41
2015-03-21,26.43
2015-03-22,26.44
2015-03-23,26.45
2015-03-24,26.46
2015-03-25,26.45
2015-03-26,26.51
2015-03-27,26.490000000000002
2015-03-28,26.46
2015-03-29,26.53
2015-03-30,26.72
2015-03-31,26.82
2015-04-01,26.72
2015-04-02,26.73
2015-04-03,26.67
2015-04-04,26.64
2015-04-05,26.6
2015-04-06,26.57
2015-04-07,26.53
2015-04-08,26.52
2015-04-09,26.52
2015-04-10,26.51
2015-04-11,26.5
2015-04-12,26.46
2015-04-13,26.45
2015-04-14,26.45
2015-04-15,26.45
2015-04-16,26.43
2015-04-17,26.41
2015-04-18,26.37
2015-04-19,26.38
2015-04-20,26.36
2015-04-21,26.35
2015-04-22,26.34
2015-04-23,26.36
2015-04-24,26.36
2015-04-25,26.35
2015-04-26,26.35
2015-04-27,26.38
2015-04-28,26.35
2015-04-29,26.330000000000002
2015-04-30,26.34
2015-05-01,26.34
2015-05-02,26.32
2015-05-03,26.330000000000002
2015-05-04,26.34
2015-05-05,26.41
2015-05-06,26.34
2015-05-07,26.330000000000002
2015-05-08,26.330000000000002
2015-05-09,26.32
2015-05-10,26.28
2015-05-11,26.29
2015-05-12,26.29
2015-05-13,26.25
2015-05-14,26.25
2015-05-15,26.240000000000002
2015-05-16,26.21
2015-05-17,26.22
2015-05-18,26.240000000000002
2015-05-19,26.240000000000002
2015-05-20,26.21
2015-05-21,26.19
2015-05-22,26.16
2015-05-23,26.18
2015-05-24,26.18
2015-05-25,26.17
2015-05-26,26.16
2015-05-27,26.150000000000002
2015-05-28,26.12
2015-05-29,26.13
2015-05-30,26.1
2015-05-31,26.080000000000002
2015-06-01,26.13
2015-06-02,26.09
2015-06-03,26.11
2015-06-04,26.04
2015-06-05,26.04
2015-06-06,26.07
2015-06-07,26.07
2015-06-08,26.07
2015-06-09,26.060000000000002
2015-06-10,26.04
2015-06-11,25.990000000000002
2015-06-12,25.98
2015-06-13,25.95
2015-06-14,25.95
2015-06-15,25.900000000000002
2015-06-16,25.86
2015-06-17,25.85
2015-06-30,25.84
2015-07-01,25.8
2015-07-02,25.75
2015-07-03,25.7
2015-07-04,25.73
2015-07-05,25.68
2015-07-06,25.72
2015-07-07,25.69
2015-07-08,25.67
2015-07-09,25.67
2015-07-10,25.69
2015-07-11,25.68
2015-07-12,25.63
2015-07-13,25.71
2015-07-14,25.77
2015-07-15,25.78
2015-07-16,25.79
2015-07-17,25.8
2015-07-18,25.72
2015-07-19,25.71
2015-07-20,25.77
2015-07-21,25.810000000000002
2015-07-22,25.79
2015-07-23,25.75
2015-07-24,25.68
2015-07-25,25.67
2015-07-26,25.73
2015-07-27,25.8
2015-07-28,25.810000000000002
2015-07-29,25.75
2015-07-30,25.71
2015-07-31,25.68
2015-08-01,25.67
2015-08-02,25.63
2015-08-03,25.61
2015-08-04,25.59
2015-08-05,25.6
2015-08-06,25.580000000000002
2015-08-07,25.560000000000002
2015-08-08,25.57
2015-08-09,25.64
2015-08-10,25.63
2015-08-11,25.64
2015-08-12,25.61
2015-08-13,25.66
2015-08-14,25.68
2015-08-15,25.7
2015-08-16,25.88
2015-08-17,26.09
2015-08-18,26.21
2015-08-19,26.17
2015-08-20,26.13
2015-08-21,26.11
2015-08-22,26.1
2015-08-23,26.1
2015-08-24,26.11
2015-08-25,26.1
2015-08-26,26.2
2015-08-27,26.16
2015-08-28,26.25
2015-08-29,26.21
2015-08-30,26.2
2015-08-31,26.19
2015-09-01,26.22
2015-09-02,26.22
2015-09-03,26.23
2015-09-04,26.22
2015-09-05,26.21
2015-09-06,26.27
2015-09-07,26.25
2015-09-08,26.240000000000002
2015-09-09,26.240000000000002
2015-09-10,26.21
2015-09-11,26.2
2015-09-12,26.19
2015-09-13,26.19
2015-09-14,26.22
2015-09-15,26.21
2015-09-16,26.21
2015-09-17,26.32
2015-09-18,26.29
2015-09-19,26.26
2015-09-20,26.3
2015-09-21,26.3
2015-09-22,26.310000000000002
2015-09-23,26.38
2015-09-24,26.45
2015-09-25,26.400000000000002
2015-09-26,26.36
2015-09-27,26.32
2015-09-28,26.3
2015-09-29,26.28
2015-09-30,26.27
2015-10-01,26.25
2015-10-02,26.25
2015-10-03,26.25
2015-10-04,26.240000000000002
2015-10-05,26.240000000000002
2015-10-06,26.29
2015-10-07,26.28
2015-10-08,26.25
2015-10-09,26.26
2015-10-10,26.27
2015-10-11,26.27
2015-10-12,26.240000000000002
2015-10-13,26.240000000000002
2015-10-14,26.23
2015-10-15,26.27
2015-10-16,26.35
2015-10-17,26.5
2015-10-18,26.46
2015-10-19,26.43
2015-10-20,26.41
2015-10-21,26.400000000000002
2015-10-22,26.400000000000002
2015-10-23,26.36
2015-10-24,26.37
2015-10-25,26.34
2015-10-26,26.35
2015-10-27,26.35
2015-10-28,26.34
2015-10-29,26.310000000000002
2015-10-30,26.29
2015-10-31,26.3
2015-11-01,26.28
2015-11-02,26.29
2015-11-03,26.3
2015-11-04,26.3
2015-11-05,26.28
2015-11-06,26.32
2015-11-07,26.310000000000002
2015-11-08,26.29
2015-11-09,26.32
2015-11-10,26.3
2015-11-11,26.3
2015-11-12,26.29
2015-11-13,26.3
2015-11-14,26.29
2015-11-15,26.38
2015-11-16,26.39
2015-11-17,26.41
2015-11-18,26.5
2015-11-19,26.47
2015-11-20,26.53
2015-11-26,26.54
2015-11-27,26.5
2015-11-28,26.51
2015-11-29,26.5
2015-11-30,26.62
2015-12-01,26.900000000000002
2015-12-02,26.82
2015-12-03,26.72
2015-12-04,26.68
2015-12-05,26.66
2015-12-06,26.62
2015-12-07,26.57
2015-12-08,26.57
2015-12-09,26.59
2015-12-10,26.560000000000002
2015-12-11,26.55
2015-12-12,26.67
2015-12-13,26.63
2015-12-14,26.63
2015-12-15,26.59
2015-12-16,26.580000000000002
2015-12-17,26.67
2015-12-18,26.62
2015-12-19,26.59
2015-12-20,26.57
2015-12-21,26.54
2015-12-22,26.57
2015-12-23,26.59
2015-12-24,26.55
2015-12-25,26.53
2015-12-26,26.55
2015-12-27,26.52
2015-12-28,26.5
2015-12-29,26.490000000000002
2015-12-30,26.47
2015-12-31,26.490000000000002
